[2022-01-28 10:19:16] arc_res50_adam_0.05_step_do_started.
[2022-01-28 13:16:32] Epoch#6_Iter#358400_loss: 20.147
[2022-01-28 13:17:20] Epoch#6_Iter#371200_loss: 20.895
[2022-01-28 13:18:07] Epoch#6_Iter#384000_loss: 19.858
[2022-01-28 13:18:55] Epoch#6_Iter#396800_loss: 20.214
[2022-01-28 13:19:43] Epoch#6_Iter#409600_loss: 20.911
[2022-01-28 13:20:31] Epoch#6_Iter#422400_loss: 18.488
[2022-01-28 13:21:18] Epoch#6_Iter#435200_loss: 22.162
[2022-01-28 13:22:06] Epoch#6_Iter#448000_loss: 19.947
[2022-01-28 13:22:54] Epoch#6_Iter#460800_loss: 19.898
[2022-01-28 13:23:41] Epoch#6_Iter#473600_loss: 17.888
[2022-01-28 13:24:29] Epoch#6_Iter#486400_loss: 22.482
[2022-01-28 13:25:15] Epoch#6 end, Accuracy: 96.867, Time Consumed: 1829.106
[2022-01-28 13:26:03] Epoch#7_Iter#12800_loss: 19.525
[2022-01-28 13:26:51] Epoch#7_Iter#25600_loss: 19.343
[2022-01-28 13:27:38] Epoch#7_Iter#38400_loss: 18.643
[2022-01-28 13:28:26] Epoch#7_Iter#51200_loss: 20.905
[2022-01-28 13:29:14] Epoch#7_Iter#64000_loss: 19.091
[2022-01-28 13:30:02] Epoch#7_Iter#76800_loss: 20.573
[2022-01-28 13:30:49] Epoch#7_Iter#89600_loss: 19.803
[2022-01-28 13:31:37] Epoch#7_Iter#102400_loss: 17.908
[2022-01-28 13:32:25] Epoch#7_Iter#115200_loss: 20.249
[2022-01-28 13:33:13] Epoch#7_Iter#128000_loss: 19.371
[2022-01-28 13:34:00] Epoch#7_Iter#140800_loss: 20.254
[2022-01-28 13:34:48] Epoch#7_Iter#153600_loss: 21.600
[2022-01-28 13:35:36] Epoch#7_Iter#166400_loss: 21.763
[2022-01-28 13:36:23] Epoch#7_Iter#179200_loss: 19.222
[2022-01-28 13:37:11] Epoch#7_Iter#192000_loss: 19.056
[2022-01-28 13:37:59] Epoch#7_Iter#204800_loss: 21.931
[2022-01-28 13:38:47] Epoch#7_Iter#217600_loss: 22.009
[2022-01-28 13:39:34] Epoch#7_Iter#230400_loss: 21.696
[2022-01-28 13:40:22] Epoch#7_Iter#243200_loss: 19.092
[2022-01-28 13:41:10] Epoch#7_Iter#256000_loss: 20.766
