[2022-01-20 14:46:03] cos_res50_sgd_0.005_exp_started.
[2022-01-20 17:02:07] Epoch#5_Iter#204800_loss: 20.926
[2022-01-20 17:02:54] Epoch#5_Iter#217600_loss: 22.752
[2022-01-20 17:03:42] Epoch#5_Iter#230400_loss: 19.965
[2022-01-20 17:04:29] Epoch#5_Iter#243200_loss: 21.520
[2022-01-20 17:05:17] Epoch#5_Iter#256000_loss: 21.063
[2022-01-20 17:06:04] Epoch#5_Iter#268800_loss: 19.744
[2022-01-20 17:06:52] Epoch#5_Iter#281600_loss: 20.665
[2022-01-20 17:07:39] Epoch#5_Iter#294400_loss: 19.048
[2022-01-20 17:08:27] Epoch#5_Iter#307200_loss: 21.119
[2022-01-20 17:09:14] Epoch#5_Iter#320000_loss: 22.439
[2022-01-20 17:10:02] Epoch#5_Iter#332800_loss: 21.094
[2022-01-20 17:10:49] Epoch#5_Iter#345600_loss: 21.922
[2022-01-20 17:11:37] Epoch#5_Iter#358400_loss: 20.485
[2022-01-20 17:12:24] Epoch#5_Iter#371200_loss: 19.222
[2022-01-20 17:13:12] Epoch#5_Iter#384000_loss: 19.879
[2022-01-20 17:13:59] Epoch#5_Iter#396800_loss: 21.920
[2022-01-20 17:14:47] Epoch#5_Iter#409600_loss: 20.640
[2022-01-20 17:15:34] Epoch#5_Iter#422400_loss: 19.781
[2022-01-20 17:16:22] Epoch#5_Iter#435200_loss: 22.807
[2022-01-20 17:17:09] Epoch#5_Iter#448000_loss: 20.224
[2022-01-20 17:17:57] Epoch#5_Iter#460800_loss: 19.179
[2022-01-20 17:18:44] Epoch#5_Iter#473600_loss: 21.062
[2022-01-20 17:19:32] Epoch#5_Iter#486400_loss: 18.206
[2022-01-20 17:20:17] Epoch#5 end, Accuracy: 93.617, Time Consumed: 1820.314
[2022-01-20 17:21:05] Epoch#6_Iter#12800_loss: 20.221
[2022-01-20 17:21:52] Epoch#6_Iter#25600_loss: 18.527
[2022-01-20 17:22:40] Epoch#6_Iter#38400_loss: 18.825
[2022-01-20 17:23:27] Epoch#6_Iter#51200_loss: 21.734
[2022-01-20 17:24:15] Epoch#6_Iter#64000_loss: 18.521
[2022-01-20 17:25:02] Epoch#6_Iter#76800_loss: 21.141
[2022-01-20 17:25:50] Epoch#6_Iter#89600_loss: 19.418
[2022-01-20 17:26:37] Epoch#6_Iter#102400_loss: 18.603
[2022-01-20 17:27:25] Epoch#6_Iter#115200_loss: 17.230
[2022-01-20 17:28:12] Epoch#6_Iter#128000_loss: 18.024
[2022-01-20 17:29:00] Epoch#6_Iter#140800_loss: 17.953
[2022-01-20 17:29:47] Epoch#6_Iter#153600_loss: 19.238
[2022-01-20 17:30:35] Epoch#6_Iter#166400_loss: 20.384
[2022-01-20 17:31:22] Epoch#6_Iter#179200_loss: 19.944
[2022-01-20 17:32:10] Epoch#6_Iter#192000_loss: 18.607
[2022-01-20 17:32:57] Epoch#6_Iter#204800_loss: 17.449
[2022-01-20 17:33:45] Epoch#6_Iter#217600_loss: 19.969
[2022-01-20 17:34:32] Epoch#6_Iter#230400_loss: 18.355
[2022-01-20 17:35:20] Epoch#6_Iter#243200_loss: 17.778
[2022-01-20 17:36:07] Epoch#6_Iter#256000_loss: 18.168
[2022-01-20 17:36:55] Epoch#6_Iter#268800_loss: 20.662
[2022-01-20 17:37:42] Epoch#6_Iter#281600_loss: 16.617
[2022-01-20 17:38:30] Epoch#6_Iter#294400_loss: 19.126
[2022-01-20 17:39:17] Epoch#6_Iter#307200_loss: 19.561
